date,symbol,open,close,volume
2010-09-29,AAPL,41.032856,41.0528564285,117411000.0
2010-09-30,AAPL,41.2857131428,40.5357131428,168347900.0
2010-10-01,AAPL,40.8785705714,40.3600005714,112035700.0
2010-10-04,AAPL,40.2285728571,39.8057137142,108825500.0
2010-10-05,AAPL,40.2857131428,41.2771415714,125491800.0
2010-10-06,AAPL,41.369999,41.3128585714,167717200.0
2010-10-07,AAPL,41.4771422857,41.3171424285,102099900.0
2010-10-08,AAPL,41.6728554285,42.0099982857,164600800.0
2010-10-11,AAPL,42.1057128571,42.1942862857,106938300.0
2010-10-12,AAPL,42.2014274285,42.648571,139636000.0
2010-10-13,AAPL,42.8857154285,42.8771438571,157523100.0
2010-10-14,AAPL,43.0985717142,43.1871414285,108824100.0
2010-10-15,AAPL,43.9199981428,44.9628562857,230548500.0
2010-10-18,AAPL,45.4957161428,45.4285698571,273252700.0
2010-10-19,AAPL,43.3428574285,44.2128562857,308196000.0
2010-10-20,AAPL,44.1428565714,44.3614272857,180406100.0
2010-10-21,AAPL,44.6228561428,44.217144,137865000.0
2010-10-22,AAPL,44.1528587142,43.9242858571,93194500.0
2010-10-25,AAPL,44.155716,44.119999,98115500.0
2010-10-26,AAPL,43.8385695714,44.0071411428,98232400.0
2010-10-27,AAPL,43.9500007142,43.9757155714,99750700.0
2010-10-28,AAPL,43.9928588571,43.6057128571,137762800.0
2010-10-29,AAPL,43.4614295714,42.9971428571,107627800.0
2010-11-01,AAPL,43.1742858571,43.4542847142,105972300.0
2010-11-02,AAPL,43.8571434285,44.1942862857,108482500.0
2010-11-03,AAPL,44.48143,44.6857147142,127087100.0
2010-11-04,AAPL,45.0642852857,45.467144,160622000.0
2010-11-05,AAPL,45.4271431428,45.304287,90313300.0
2010-11-08,AAPL,45.3142852857,45.5171432857,70439600.0
2010-11-09,AAPL,45.8642845714,45.1542854285,95886000.0
2010-11-10,AAPL,45.2342872857,45.4328575714,96056800.0
2010-11-11,AAPL,45.0,45.235714,90321000.0
2010-11-12,AAPL,45.1428565714,44.0042838571,198961700.0
2010-11-15,AAPL,44.0657158571,43.8628578571,100901500.0
2010-11-16,AAPL,43.6742858571,43.0842857142,164412500.0
2010-11-17,AAPL,43.0285721428,42.9285698571,119862400.0
2010-11-18,AAPL,43.5999984285,44.061428,123622800.0
2010-11-19,AAPL,43.9957161428,43.818573,96210800.0
2010-11-22,AAPL,43.811428,44.7657127142,98268800.0
2010-11-23,AAPL,44.3499984285,44.1042861428,129861900.0
2010-11-24,AAPL,44.5714301428,44.9714278571,103431300.0
2010-11-26,AAPL,44.8199997142,45.0,59396400.0
2010-11-29,AAPL,45.0714301428,45.2671432857,111446300.0
2010-11-30,AAPL,44.7914275714,44.4500007142,125464500.0
2010-12-01,AAPL,45.0385704285,45.2000007142,115437700.0
2010-12-02,AAPL,45.3614272857,45.4500007142,115709300.0
2010-12-03,AAPL,45.2871437142,45.3485717142,85523200.0
2010-12-06,AAPL,45.5200004285,45.735714,112120400.0
2010-12-07,AAPL,46.2571411428,45.4585724285,97863500.0
2010-12-08,AAPL,45.6614304285,45.8585701428,80483900.0
2010-12-09,AAPL,46.01857,45.6800002857,73537800.0
2010-12-10,AAPL,45.6642875714,45.7942848571,65627800.0
2010-12-13,AAPL,46.3385695714,45.952858,109953900.0
2010-12-14,AAPL,45.9614295714,45.7557144285,87752000.0
2010-12-15,AAPL,45.7142868571,45.7657127142,104328000.0
2010-12-16,AAPL,45.869999,45.8928565714,80507700.0
2010-12-17,AAPL,45.9471435714,45.8014297142,96732300.0
2010-12-20,AAPL,45.9428558571,46.0299987142,96402600.0
2010-12-21,AAPL,46.1428565714,46.3142852857,64088500.0
2010-12-22,AAPL,46.337143,46.4514274285,66480400.0
2010-12-23,AAPL,46.4285698571,46.2285728571,55789300.0
2010-12-27,AAPL,46.1214294285,46.3828582857,62454000.0
2010-12-28,AAPL,46.5585708571,46.4957161428,43981000.0
2010-12-29,AAPL,46.6028557142,46.4700012857,40784800.0
2010-12-30,AAPL,46.4971428571,46.2371444285,39373600.0
2010-12-31,AAPL,46.1357154285,46.0800018571,48377000.0
2011-01-03,AAPL,46.5200004285,47.0814285714,111284600.0
2011-01-04,AAPL,47.4914284285,47.3271445714,77270200.0
2011-01-05,AAPL,47.0785712857,47.7142868571,63879900.0
2011-01-06,AAPL,47.8171424285,47.6757125714,75107200.0
2011-01-07,AAPL,47.7128562857,48.0171432857,77982800.0
2011-01-10,AAPL,48.4042854285,48.9214287142,112140000.0
2011-01-11,AAPL,49.26857,48.8057137142,111027000.0
2011-01-12,AAPL,49.0357131428,49.202858,75647600.0
2011-01-13,AAPL,49.3085708571,49.3828582857,74195100.0
2011-01-14,AAPL,49.412857,49.782856,77210000.0
2011-01-18,AAPL,47.0742874285,48.6642875714,470249500.0
2011-01-19,AAPL,49.764286,48.405716,283903200.0
2011-01-20,AAPL,48.061428,47.5257148571,191197300.0
2011-01-21,AAPL,47.681427,46.6742858571,188600300.0
2011-01-24,AAPL,46.695713,48.2071418571,143670800.0
2011-01-25,AAPL,48.047142,48.7714271428,136717000.0
2011-01-26,AAPL,48.9942855714,49.1214294285,126718900.0
2011-01-27,AAPL,49.1114272857,49.0299987142,71256500.0
2011-01-28,AAPL,49.167141,48.014286,148014300.0
2011-01-31,AAPL,47.9714278571,48.4742851428,94311700.0
2011-02-01,AAPL,48.7571411428,49.2900008571,106658300.0
2011-02-02,AAPL,49.2071418571,49.188572,64738800.0
2011-02-03,AAPL,49.1142845714,49.0628585714,98449400.0
2011-02-04,AAPL,49.0914268571,49.5,80460100.0
2011-02-07,AAPL,49.6985702857,50.2685699999,121255400.0
2011-02-08,AAPL,50.5257148571,50.7428588571,95260200.0
2011-02-09,AAPL,50.7414284285,51.1657142857,120686300.0
2011-02-10,AAPL,51.0557137142,50.6485709999,232137500.0
2011-02-11,AAPL,50.6785698571,50.9785728571,91893200.0
2011-02-14,AAPL,50.9700012857,51.3114279999,77604100.0
2011-02-15,AAPL,51.3128585714,51.4142875714,71043700.0
